Topic,Word,TypedFrequency,SpokenFrequency,TotalFrequency,LastUsedDate,RelatedWords
Routine,alarm,78,32,110,2025-03-30,"lecture, commute, notes, repeat, shower"
Routine,shower,17,20,37,2025-04-19,"commute, lecture, lab, notes, repeat"
Routine,commute,44,90,134,2025-03-23,"shower, alarm, lab, notes, lecture"
Routine,lecture,71,57,128,2025-03-24,"shower, alarm, notes, commute, repeat"
Routine,lab,60,22,82,2025-04-03,"commute, repeat, shower, alarm, lecture"
Routine,notes,75,76,151,2025-04-17,"alarm, shower, commute, lab, lecture"
Routine,repeat,58,82,140,2025-03-24,"notes, lecture, commute, alarm, shower"
Fitness,gym,49,33,82,2025-04-17,"hydration, squat, stretch, cardio, protein"
Fitness,squat,23,89,112,2025-03-31,"hydration, dumbbell, gym, stretch, protein"
Fitness,protein,29,66,95,2025-03-20,"stretch, hydration, dumbbell, cardio, gym"
Fitness,cardio,10,54,64,2025-04-08,"gym, dumbbell, stretch, protein, squat"
Fitness,dumbbell,76,17,93,2025-04-13,"protein, stretch, hydration, gym, cardio"
Fitness,stretch,82,88,170,2025-03-24,"cardio, squat, gym, protein, hydration"
Fitness,hydration,69,32,101,2025-04-17,"squat, dumbbell, stretch, gym, cardio"
Technology,coding,89,98,187,2025-04-07,"sensor, circuit, debug, python, robotics"
Technology,python,60,32,92,2025-04-13,"circuit, debug, robotics, algorithm, sensor"
Technology,robotics,71,40,111,2025-03-26,"circuit, coding, debug, python, sensor"
Technology,debug,24,58,82,2025-04-07,"circuit, algorithm, coding, robotics, python"
Technology,circuit,11,15,26,2025-04-15,"robotics, python, debug, coding, sensor"
Technology,sensor,16,14,30,2025-03-24,"coding, algorithm, robotics, python, debug"
Technology,algorithm,65,53,118,2025-03-23,"robotics, debug, coding, circuit, python"
Study,quiz,53,32,85,2025-04-14,"focus, grade, review, exam, assignment"
Study,assignment,71,49,120,2025-04-09,"grade, deadline, review, exam, quiz"
Study,deadline,84,27,111,2025-04-06,"focus, assignment, exam, quiz, review"
Study,focus,37,33,70,2025-04-12,"assignment, quiz, exam, review, deadline"
Study,review,24,54,78,2025-04-05,"grade, deadline, quiz, focus, exam"
Study,grade,28,83,111,2025-04-02,"exam, review, quiz, assignment, focus"
Study,exam,13,73,86,2025-04-14,"review, deadline, quiz, grade, assignment"
Diet,chicken,13,76,89,2025-04-15,"proteinbar, snack, shake, lowcarb, salad"
Diet,rice,78,68,146,2025-04-04,"shake, chicken, proteinbar, salad, snack"
Diet,salad,24,89,113,2025-04-03,"rice, proteinbar, snack, shake, lowcarb"
Diet,snack,40,67,107,2025-04-06,"chicken, lowcarb, shake, salad, proteinbar"
Diet,proteinbar,80,61,141,2025-03-20,"shake, salad, snack, chicken, rice"
Diet,shake,78,56,134,2025-04-16,"proteinbar, snack, chicken, lowcarb, rice"
Diet,lowcarb,58,66,124,2025-03-21,"shake, rice, proteinbar, chicken, snack"
Friends,hangout,29,75,104,2025-04-02,"support, memes, game, groupchat, chat"
Friends,chat,85,84,169,2025-03-29,"game, memes, support, groupchat, hangout"
Friends,game,47,30,77,2025-03-24,"movie, memes, groupchat, hangout, chat"
Friends,groupchat,20,39,59,2025-04-18,"game, memes, chat, support, movie"
Friends,memes,29,13,42,2025-03-30,"movie, support, groupchat, chat, hangout"
Friends,movie,90,33,123,2025-04-01,"support, chat, hangout, memes, groupchat"
Friends,support,63,100,163,2025-04-02,"game, memes, movie, hangout, groupchat"
Stress,midterm,13,89,102,2025-04-10,"burnout, rush, frustrated, delay, sleepy"
Stress,sleepy,61,53,114,2025-04-15,"frustrated, burnout, midterm, overload, delay"
Stress,rush,100,96,196,2025-04-15,"burnout, delay, frustrated, midterm, sleepy"
Stress,burnout,11,83,94,2025-04-04,"midterm, rush, frustrated, sleepy, delay"
Stress,delay,27,76,103,2025-04-08,"sleepy, rush, burnout, frustrated, midterm"
Stress,frustrated,40,17,57,2025-04-08,"rush, burnout, midterm, delay, overload"
Stress,overload,55,63,118,2025-04-16,"rush, frustrated, delay, sleepy, burnout"
