Topic,Word,TypedFrequency,SpokenFrequency,TotalFrequency,LastUsedDate,RelatedWords
Sleep,stressed,77,56,133,2025-04-13,"anxious, tired, melatonin, nap, overthink"
School,assignment,100,29,129,2025-04-18,"library, coffee, groupchat, lecture, deadline"
Artwork,sketch,55,71,126,2025-04-16,"acrylic, canvas, critique, gesture, draft"
Artwork,palette,61,62,123,2025-03-30,"acrylic, canvas, gesture, sketch, critique"
Sleep,insomnia,60,53,113,2025-04-18,"anxious, tired, stressed, melatonin, nap"
School,groupchat,62,45,107,2025-04-10,"library, coffee, lecture, deadline, rent"
Sleep,melatonin,63,41,104,2025-04-16,"anxious, tired, stressed, nap, overthink"
Artwork,gesture,64,39,103,2025-04-18,"acrylic, canvas, palette, sketch, critique"
Artwork,canvas,25,77,102,2025-04-18,"acrylic, critique, gesture, palette, sketch"
School,rent,69,33,102,2025-04-12,"library, assignment, groupchat, coffee, deadline"
Artwork,critique,55,36,91,2025-04-02,"acrylic, canvas, gesture, palette, sketch"
School,lecture,65,24,89,2025-04-16,"library, coffee, groupchat, deadline, rent"
School,deadline,50,36,86,2025-04-15,"library, coffee, groupchat, lecture, rent"
Discord,lmao,84,0,84,2025-04-12,"idk, ping, brb, mute, omw"
League,fed,23,61,84,2025-04-05,"ranked, ult, tilt, gg, noob"
School,library,48,36,84,2025-04-18,"rent, assignment, groupchat, coffee, deadline"
Sleep,tired,48,36,84,2025-03-25,"anxious, melatonin, stressed, nap, overthink"
League,ranked,15,66,81,2025-03-23,"ult, tilt, gg, noob, gank"
Artwork,acrylic,66,14,80,2025-04-16,"draft, canvas, gesture, critique, sketch"
Video,binge,58,21,79,2025-03-14,"director, vlog, trilogy, stream, spoiler"
Sleep,nap,56,21,77,2025-04-17,"anxious, tired, melatonin, stressed, overthink"
Travel,itinerary,29,42,71,2025-04-13,"wanderlust, explore, hostel, suitcase, flight"
School,coffee,16,55,71,2025-04-14,"library, deadline, groupchat, lecture, rent"
Discord,server,18,49,67,2025-03-20,"idk, ping, lmao, brb, mute"
Sleep,overthink,2,64,66,2025-04-18,"anxious, tired, melatonin, stressed, nap"
League,ult,45,19,64,2025-04-16,"ranked, tilt, gg, noob, gank"
Travel,suitcase,59,3,62,2025-04-11,"wanderlust, flight, hostel, passport, explore"
Travel,wanderlust,57,4,61,2025-04-05,"hostel, suitcase, flight, passport, itinerary"
League,noob,22,38,60,2025-04-17,"ranked, ult, tilt, gg, gank"
League,tilt,8,52,60,2025-04-14,"ranked, ult, gg, noob, gank"
Travel,passport,37,23,60,2025-04-13,"wanderlust, suitcase, hostel, flight, explore"
Video,genre,40,20,60,2025-04-19,"director, vlog, trilogy, binge, stream"
Sleep,anxious,12,47,59,2025-04-10,"tired, melatonin, stressed, nap, overthink"
Travel,flight,25,33,58,2025-04-18,"wanderlust, hostel, suitcase, passport, itinerary"
Artwork,draft,55,3,58,2025-04-09,"acrylic, canvas, gesture, critique, sketch"
Video,stream,25,32,57,2025-04-15,"vlog, trilogy, binge, spoiler, genre"
Discord,ping,43,14,57,2025-04-16,"idk, lmao, brb, mute, omw"
Discord,idk,55,0,55,2025-04-19,"lmao, brb, mute, omw, server"
Discord,mute,38,15,53,2025-03-27,"idk, ping, lmao, brb, omw"
League,gg,51,0,51,2025-03-25,"ranked, ult, tilt, noob, gank"
Travel,explore,49,2,51,2025-04-18,"wanderlust, hostel, suitcase, flight, passport"
League,gank,24,22,46,2025-03-29,"ranked, ult, tilt, gg, noob"
Discord,omw,2,42,44,2025-04-06,"idk, ping, lmao, brb, mute"
Video,vlog,42,2,44,2025-04-18,"director, trilogy, binge, stream, spoiler"
Discord,brb,42,0,42,2025-04-09,"idk, ping, lmao, mute, omw"
Travel,hostel,41,0,41,2025-04-11,"wanderlust, suitcase, flight, passport, itinerary"
Video,spoiler,0,40,40,2025-04-11,"vlog, trilogy, binge, stream, genre"
Video,trilogy,22,14,36,2025-04-16,"vlog, binge, stream, spoiler, genre"
Video,director,2,33,35,2025-03-23,"vlog, trilogy, binge, stream, spoiler"
